7zip 26.00-1
android-file-transfer 4.5-2
archlinux-xdg-menu 0.7.7-1
autoconf-archive 1:2024.10.16-4
base 3-3
base-devel 1-2
bat 0.26.1-2
bluez 5.86-5
bluez-utils 5.86-5
btop 1.4.6-2
btrfs-progs 6.19.1-1
clang 22.1.3-1
clonezilla 5.15.16-1
cups 2:2.4.18-1
cups-pk-helper 0.2.7-2
debugedit 5.2-1
discord 1:0.0.134-1
dunst 1.13.2-1
efibootmgr 18-3
ex-vi-compat 2-1
eza 0.23.4-3
fakeroot 1.37.2-1
fastfetch 2.62.1-1
fd 10.4.2-2
firefox 150.0-1
fzf 0.71.0-1
gcc 15.2.1+r604+g0b99615a8aef-1
git 2.54.0-1
glow 2.1.2-1
go 2:1.26.2-1
go-tools 4:0.44.0-1
graphviz 14.1.5-1
grim 1.5.0-2
gst-plugin-pipewire 1:1.6.4-1
handlr-regex 0.13.0-1
hexyl 0.17.0-1
hyprland 0.54.3-2
hyprpaper 0.8.3-4
hyprpolkitagent 0.1.3-6
imagemagick 7.1.2.21-1
intel-media-driver 25.4.6-1
intel-ucode 20260227-1
iwd 3.12-1
jq 1.8.1-3
keepassxc 2.7.12-2
kitty 0.46.2-1
ktouch 26.04.0-1
less 1:692-1
libpulse 17.0+r98+gb096704c0-1
libva-intel-driver 2.4.1-6
linux 6.19.13.arch1-1
linux-firmware 20260410-1
lua-jsregexp 0.1.0-3
ly 1.3.2-1
minder 1.17.0-2
nano 9.0-1
neovim 0.12.2-1
network-manager-applet 1.36.0-2
networkmanager 1.56.0-1
nodejs 25.9.0-1
noto-fonts-emoji 1:2.051-1
npm 11.13.0-1
onlyoffice-bin 9.3.1-1
paru 2.1.0-2
paru-debug 2.1.0-2
pipewire 1:1.6.4-1
pipewire-alsa 1:1.6.4-1
pipewire-jack 1:1.6.4-1
pipewire-pulse 1:1.6.4-1
pnpm 10.33.0-1
polkit-kde-agent 6.6.4-1
power-profiles-daemon 0.30-1
python-docutils 1:0.22.4-1
qbittorrent 5.1.4-2
qt5-wayland 5.15.18+kde+r55-1
qt6-wayland 6.11.0-1
resvg 0.47.0-2
slurp 1.5.0-2
smartmontools 7.5-1
snapd 2.75.2-1
snapper 0.13.1-1
spotify-launcher 0.6.5-1
sudo 1.9.17.p2-2
system-config-printer 1.5.18-6
tmux 3.6_a-1
ttf-0xproto-nerd 3.4.0-2
unzip 6.0-23
uwsm 0.26.4-1
ventoy-bin 1.1.12-1
ventoy-bin-debug 1.1.10-2
vim 9.2.0388-1
vulkan-intel 1:26.0.5-1
vulkan-nouveau 1:26.0.5-1
vulkan-radeon 1:26.0.5-1
wget 1.25.0-3
wireless_tools 30.pre9-5
wireplumber 0.5.14-1
wkhtmltopdf-bin 0.12.6.1+3-1
wl-clipboard 1:2.3.0-1
wofi 1.5.3-1
xdg-desktop-portal-hyprland 1.3.11-4
xdg-utils 1.2.1-2
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xf86-video-nouveau 1.0.18-1
xfsprogs 6.19.0-1
xorg-server 21.1.22-1
xorg-xinit 1.4.4-1
yay-debug 12.5.7-1
yazi 26.1.22-4
zip 3.0-13
zoxide 0.9.9-2
zram-generator 1.2.1-1
zsh 5.9-6
