base 3-3
base-devel 1-2
bash-completion 2.18.0-1
bluez 5.87-2.1
bluez-utils 5.87-2.1
btrfs-assistant 2.3.1-1.1
btrfs-progs 7.1-1
cachyos-fish-config 16-1
cachyos-hooks 2026.02.05-1
cachyos-keyring 20240331-1
cachyos-mirrorlist 27-1
cachyos-niri-noctalia 1.4.0-1
cachyos-plymouth-bootanimation 2-3
cachyos-plymouth-theme 1-1
cachyos-rate-mirrors 24-1
cachyos-settings 1:1.4.0-1
cachyos-snapper-support 1.0.2-1
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
chwd 1.24.1-1
cryptsetup 2.8.7-1.1
device-mapper 2.03.42-1.1
diffutils 3.12-2.1
distrobox 1.8.2.5-1
dosfstools 4.2-5.1
e2fsprogs 1.47.4-1.1
efibootmgr 18-4.1
exfatprogs 1.4.3-1.1
f2fs-tools 1.16.0-3.1
fastfetch 2.68.1-1.1
git 2.55.0-1.1
gst-plugin-va 1.28.6-3
inetutils 2.8-1.1
intel-media-driver 26.2.4-1.1
intel-media-sdk 23.2.2-6
intel-ucode 20260812-1
iwd 3.12-1.1
jfsutils 1.1.15-9.1
keepassxc 2.7.12-4
kitty 0.48.2-1.1
less 1:704-1.1
lib32-mesa 3:26.2.2-2
lib32-opencl-mesa 3:26.2.2-2
lib32-vulkan-intel 3:26.2.2-2
limine 12.7.0-1
limine-mkinitcpio-hook 1.37.1-1
limine-snapper-sync 1.31.0-1
linux-cachyos 7.2.2-1
linux-cachyos-headers 7.2.2-1
linux-cachyos-lts 6.18.48-1
linux-cachyos-lts-headers 6.18.48-1
linux-firmware 1:20260810-2
logrotate 3.22.0-1.1
lsb-release 2.0.r55.a25a4fc-1
lvm2 2.03.42-1.1
man-db 2.13.1-2.1
man-pages 6.19-1
mdadm 4.6-2
mesa-utils 9.0.0-7.1
mkinitcpio 41.1-2
netctl 1.29-2
networkmanager 1.58.1-1
noto-fonts 1:2026.09.01-1
noto-fonts-emoji 1:2.051-1
opencl-mesa 3:26.2.2-2
openssh 10.5p1-1.1
os-prober 1.84-1.1
pacman-contrib 1.13.1-1.2
perl 5.42.2-2.1
pipewire-alsa 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
plymouth 26.134.222-2.1
podman 6.1.1-1.1
power-profiles-daemon 0.30-3
python 3.14.7-2
qt5-wayland 5.15.19+kde+r55-1.1
realtime-privileges 5-1
s-nail 14.9.25-1.1
sddm 0.21.0-8
snapper 0.13.1-3.1
sof-firmware 2025.12.2-1
steam 1.0.0.87-3
sudo 1.9.17.p2-6.1
sysfsutils 2.1.1-2.2
texinfo 7.3-1.1
ttf-dejavu 2.37+18+g9b5d1b2f-8
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.5.1-2
ufw 0.36.2-7
ufw-extras 1.3.0-1
unzip 6.0-23.1
usbutils 019-1.1
vim 9.2.1011-1.1
vulkan-intel 3:26.2.2-2
which 2.25-1.1
wireplumber 0.5.17-1.1
wpa_supplicant 2:2.12-1.1
xdg-user-dirs 0.20-1.1
xfsprogs 7.1.1-1.1
zen-browser-bin 1.21.16b-1
